type,start,end,duration
RETRIEVE,1343889,1413171,69282
RETRIEVE,2466783,2561849,95066
DELETE,3230632,3845450,614818
DELETE,1949750,2242711,292961
RETRIEVE,3041543,3163929,122386
RETRIEVE,2030542,2162540,131998
ADD,3173432,3550560,377128
RETRIEVE,3497882,3609944,112062
ADD,3254666,3951928,697262
RETRIEVE,1219575,1358785,139210
RETRIEVE,3608160,3695530,87370
DELETE,187552,766053,578501
RETRIEVE,2387998,2492836,104838
ADD,827935,1375733,547798
RETRIEVE,1582433,1717167,134734
RETRIEVE,791047,814747,23700
RETRIEVE,1480389,1555087,74698
ADD,3406527,4025106,618579
RETRIEVE,1845394,1972630,127236
DELETE,1822893,2281975,459082
DELETE,3151922,3544124,392202
ADD,1067990,1442135,374145
DELETE,1039678,1849559,809881
ADD,479190,944016,464826
DELETE,2247188,2811070,563882
RETRIEVE,423714,535042,111328
DELETE,4557544,4884413,326869
ADD,983662,1213421,229759
DELETE,4348739,4644396,295657
RETRIEVE,2201761,2313881,112120
ADD,3589675,4132434,542759
DELETE,937249,1509969,572720
RETRIEVE,1872085,1991613,119528
DELETE,1949514,2400452,450938
RETRIEVE,667799,762201,94402
DELETE,2946010,3402313,456303
RETRIEVE,4082318,4152086,69768
RETRIEVE,3980703,4075199,94496
DELETE,3620235,3832076,211841
RETRIEVE,297786,360590,62804
ADD,2885032,3460337,575305
RETRIEVE,441810,531242,89432
DELETE,2217713,2759888,542175
RETRIEVE,4751537,4817417,65880
DELETE,674594,1104345,429751
RETRIEVE,2718147,2778833,60686
DELETE,3091812,3520469,428657
ADD,1921629,2323179,401550
RETRIEVE,2178172,2266358,88186
ADD,1082318,1503008,420690
ADD,2146205,2683220,537015
DELETE,286197,704682,418485
RETRIEVE,1337421,1408307,70886
RETRIEVE,2233581,2344347,110766
RETRIEVE,2088305,2169699,81394
RETRIEVE,667641,766521,98880
ADD,2326982,2643317,316335
DELETE,1642499,1996578,354079
RETRIEVE,2629706,2694288,64582
RETRIEVE,4137610,4228390,90780
RETRIEVE,2085239,2162615,77376
ADD,2708621,3083470,374849
RETRIEVE,406064,495044,88980
ADD,2091891,2523356,431465
RETRIEVE,4688909,4848597,159688
RETRIEVE,775572,861218,85646
DELETE,1546780,1933469,386689
ADD,1884058,2358556,474498
RETRIEVE,1306506,1441868,135362
RETRIEVE,4101557,4217017,115460
RETRIEVE,1292039,1393903,101864
ADD,4210771,4825301,614530
ADD,155379,672271,516892
ADD,380026,705561,325535
ADD,1550130,2075610,525480
RETRIEVE,3824686,3924898,100212
ADD,121552,578244,456692
RETRIEVE,1100097,1211985,111888
ADD,1710071,1960675,250604
RETRIEVE,435737,462507,26770
ADD,665303,1176618,511315
